Sourcerecord ID,Source Title,ISSN,EISSN,Active or Inactive,Coverage,Titles Discontinued by Scopus Due to Quality Issues,Article Language in Source (Three-Letter ISO Language Codes),Medline-sourced Title? (See additional details under separate tab.),Open Access Status,Articles in Press Included?,Added to List Jul. 2025,Source Type,Title History Indication,Related Title 1,Other Related Title 2,Other Related Title 3,Other Related Title 4,Publisher,Publisher Imprints Grouped to Main Publisher,All Science Journal Classification Codes (ASJC),"Top level:

Life Sciences","Top level:

Social Sciences","Top level:

Physical Sciences","Top level:

Health Sciences","1000 
General","1100
Agricultural and Biological Sciences","1200
Arts and Humanities","1300
Biochemistry, Genetics and Molecular Biology","1400
Business, Management and Accounting","1500
Chemical Engineering","1600
Chemistry","1700
Computer Science","1800
Decision Sciences","1900
Earth and Planetary Sciences","2000
Economics, Econometrics and Finance","2100
Energy","2200
Engineering","2300
Environmental Science","2400
Immunology and Microbiology","2500
Materials Science","2600
Mathematics","2700
Medicine","2800
Neuroscience","2900
Nursing","3000
Pharmacology, Toxicology and Pharmaceutics","3100
Physics and Astronomy","3200
Psychology","3300
Social Sciences","3400
Veterinary","3500
Dentistry","3600
Health Professions"
17100,South Asian Studies,02666030,21532699,Active,1985-2025,,ENG,,,Articles in Press,,Journal,,,,,,Taylor and Francis Ltd.,Taylor & Francis,1202; 1203; 3316; 1204,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
17101,South Asian Survey,09715231,09730788,Inactive,1994-2013,,ENG,,,Articles in Press,,Journal,,,,,,Sage Publications India Pvt. Ltd,SAGE,3320; 3303; 3305,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
29346,South Atlantic Quarterly,00382876,,Active,2001-2025; 1999; 1987; 1984; 1980-1981; 1973; 1971; 1962-1963; 1959-1960; 1941; 1926; 1919; 1912-1913; 1907; 1904-1905,,ENG,,,,,Journal,,,,,,Duke University Press,Duke University Press,1208; 3312; 3316,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21100205708,South Central Review,07436831,15493377,Active,2011-2025,,ENG,,,,,Journal,,,,,,Johns Hopkins University Press,Johns Hopkins University Press,1208; 1211; 1213; 3316,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
16000154785,South Dakota Review,00383368,,Inactive,2015; 2002-2012,,ENG,,,,,Journal,,,,,,University South Dakota,University South Dakota,1208,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
21517,South East Asia Research,0967828X,,Active,1995-2025,,ENG,,,Articles in Press,,Journal,,,,,,Taylor and Francis Ltd.,Taylor & Francis,3320; 3303; 3305,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21101050900,South East Asian Journal of Mathematics and Mathematical Sciences,09727752,25820850,Active,2019-2025,,ENG,,,,,Journal,,,,,,RAMANUJAN SOCIETY OF MATHEMATICS AND MATHEMATICAL SCIENCES,RAMANUJAN SOCIETY OF MATHEMATICS AND MATHEMATICAL SCIENCES,2607; 2605; 2604; 2603; 2602,,,Physical Sciences,,,,,,,,,,,,,,,,,,Mathematics ,,,,,,,,,,
19900191851,South East European Journal of Economics and Business,1840118X,,Active,2007-2024,,ENG,,,,,Journal,,,,,,School of Economics and Business in Sarajevo,School of Economics and Business in Sarajevo,2000; 1400,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,,,,
21100900146,South Eastern European Journal of Public Health,,21975248,Inactive,2025; 2018-2023,,ENG,,,,,Journal,,,,,,Jacobs Verlag,Jacobs Verlag,2719; 3306; 2739,,Social Sciences,,Health Sciences,,,,,,,,,,,,,,,,,,Medicine ,,,,,,Social Sciences ,,,
28082,South European Society and Politics,13608746,17439612,Active,1996-2025,,ENG,,,Articles in Press,,Journal,,,,,,Routledge,Taylor & Francis,3312,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21100869498,"South of Russia: Ecology, Development",19921098,24130958,Active,2018-2025,,ENG; RUS,,Unpaywall Open Access,,,Journal,,,,,,Kamerton,Kamerton,2303; 3305; 1105,Life Sciences,Social Sciences,Physical Sciences,,,Agricultural and Biological Sciences ,,,,,,,,,,,,Environmental Science ,,,,,,,,,,Social Sciences ,,,
21100931378,Southeast Asian Journal of Economics,22868984,24655120,Active,2019-2025,,ENG,,,,,Journal,,,,,,Chulalognkorn University,Chulalognkorn University,1401; 3303; 2000,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
21100778849,Southeast Asian Studies,21867275,24238686,Active,2012-2025,,ENG,,,,,Journal,,,,,,Center for Southeast Asian Studies,Center for Southeast Asian Studies,1000; 3320; 3305; 3303,,Social Sciences,,,General,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
5700163885,Southeast European and Black Sea Studies,14683857,17439639,Active,2008-2025,,ENG,,,Articles in Press,,Journal,,,,,,Routledge,Taylor & Francis,1202; 3320,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21101098863,Southeast of Now,24249947,24250147,Active,2019-2025,,ENG,,Unpaywall Open Access,,,Journal,,,,,,NUS Press Pte Ltd,NUS Press Pte Ltd,1213,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,,,,
79955,Southeastern Archaeology,0734578X,,Active,1996-2025,,ENG,,,Articles in Press,,Journal,,,,,,Taylor and Francis Ltd.,Taylor & Francis,3302,,Social Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
19600157304,Southeastern Europe,00944467,18763332,Active,2009-2023; 2007; 2005; 2002; 1983-1990; 1976-1980,,ENG,,,,,Journal,,,,,,Brill Academic Publishers,Brill,3320; 3312; 1202; 3316,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
13104,Southeastern Geographer,0038366X,15496929,Active,1996-2025; 1979-1994,,ENG,,,,,Journal,,,,,,University of North Carolina Press,University of North Carolina Press,1900; 3305,,Social Sciences,Physical Sciences,,,,,,,,,,,Earth and Planetary Sciences ,,,,,,,,,,,,,,Social Sciences ,,,
21100201987,Southern African Humanities,16815564,,Active,2008-2024,,ENG,,,,,Journal,,,,,,KwaZulu-Natal Museum,KwaZulu-Natal Museum,3302; 3314; 1202; 3316; 1204,,Social Sciences,,,,,Arts and Humanities ,,,,,,,,,,,,,,,,,,,,,Social Sciences ,,,
21101021439,Southern African Journal of Entrepreneurship and Small Business Management,25227343,20713185,Active,2019-2025,,ENG,,Unpaywall Open Access,,,Journal,,,,,,AOSIS (Pty) Ltd,AOSIS (Pty) Ltd,3303; 2002; 1408; 1403,,Social Sciences,,,,,,,"Business, Management and Accounting ",,,,,,"Economics, Econometrics and Finance ",,,,,,,,,,,,,Social Sciences ,,,
