,Top Level,Primary Level,Secondary Level,Full Title,ISSN,Unformatted ISSN,Product ID,Status,Change History
6724,Life Sciences,Neuroscience,Cognitive Neuroscience,Biocybernetics and Biomedical Engineering,0208-5216,02085216,11011,Active,
6726,Life Sciences,Neuroscience,Cognitive Neuroscience,Biologically Inspired Cognitive Architectures,2212-683X,2212683X,09913,Incorporated,Incorporated into Cognitive Systems Research
6731,Life Sciences,Neuroscience,Cognitive Neuroscience,Cognition,0010-0277,00100277,05257,Active,
6732,Life Sciences,Neuroscience,Cognitive Neuroscience,Cognitive Brain Research,0926-6410,09266410,05018,Incorporated,Incorporated into Brain Research
6733,Life Sciences,Neuroscience,Cognitive Neuroscience,Cognitive Psychology,0010-0285,00100285,12022,Active,
6734,Life Sciences,Neuroscience,Cognitive Neuroscience,Cognitive Science,0364-0213,03640213,07451,Transferred,Transferred to Lawrence Erlbaum Associates as of 2005
6735,Life Sciences,Neuroscience,Cognitive Neuroscience,Cognitive Systems Research,1389-0417,13890417,09913,Active,Incorporating Biologically Inspired Cognitive Architectures
6736,Life Sciences,Neuroscience,Cognitive Neuroscience,Consciousness and Cognition,1053-8100,10538100,12018,Active,
6737,Life Sciences,Neuroscience,Cognitive Neuroscience,Cortex,0010-9452,00109452,15801,Active,
6738,Life Sciences,Neuroscience,Cognitive Neuroscience,Developmental Cognitive Neuroscience,1878-9293,18789293,05648,Active,
6751,Life Sciences,Neuroscience,Cognitive Neuroscience,Neurobiology of Learning and Memory,1074-7427,10747427,12098,Active,Formerly known as Behavioral and Neural Biology
6752,Life Sciences,Neuroscience,Cognitive Neuroscience,NeuroImage,1053-8119,10538119,12097,Active,
6753,Life Sciences,Neuroscience,Cognitive Neuroscience,NeuroImage: Clinical,2213-1582,22131582,13463,Active,
6754,Life Sciences,Neuroscience,Cognitive Neuroscience,Neuropharmacology,0028-3908,00283908,00279,Active,Formerly known as International Journal of Neuropharmacology
6755,Life Sciences,Neuroscience,Cognitive Neuroscience,Neuropsychologia,0028-3932,00283932,00247,Active,
6756,Life Sciences,Neuroscience,Cognitive Neuroscience,Neuroscience & Biobehavioral Reviews,0149-7634,01497634,00831,Active,Formerly known as Biobehavioral Reviews
6762,Life Sciences,Neuroscience,Cognitive Neuroscience,Trends in Cognitive Sciences,1364-6613,13646613,02201,Active,
7589,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Advanced Bionics,2950-3876,29503876,31782,Active,
7590,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Advanced Engineering Informatics,1474-0346,14740346,02007,Active,Formerly known as Artificial Intelligence in Engineering
7591,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,AI Open,2666-6510,26666510,30405,Active,
7592,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,AI Thermal Fluids,3050-5852,30505852,32019,Active,
7593,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,AI Thermal Fluids,3050-5852,30505852,32019,Active,
7594,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Artificial Intelligence,0004-3702,00043702,05255,Active,
7595,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Artificial Intelligence in Agriculture,2589-7217,25897217,18439,Active,
7596,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Artificial Intelligence in Engineering,0954-1810,09541810,02007,Changed Name,Continued as Advanced Engineering Informatics
7597,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Artificial Intelligence in Geosciences,2666-5441,26665441,30365,Active,
7598,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Artificial Intelligence in Medicine,0933-3657,09333657,05095,Active,
7599,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,"BenchCouncil Transactions on Benchmarks, Standards and Evaluations",2772-4859,27724859,31251,Active,
7600,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Biologically Inspired Cognitive Architectures,2212-683X,2212683X,09913,Incorporated,Incorporated into Cognitive Systems Research
7601,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Biomedical Analysis,2950-435X,2950435X,31778,Active,
7602,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Biomimetic Intelligence and Robotics,2667-3797,26673797,31156,Active,
7603,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,CAAI Transactions on Intelligence Technology,2468-2322,24682322,18343,Transferred,Transferred back to the society as of 2017
7604,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Cognitive Robotics,2667-2413,26672413,31149,Active,
7605,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Cognitive Science,0364-0213,03640213,07451,Transferred,Transferred to Lawrence Erlbaum Associates as of 2005
7606,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Cognitive Systems Research,1389-0417,13890417,09913,Active,Incorporating Biologically Inspired Cognitive Architectures
7607,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Data & Knowledge Engineering,0169-023X,0169023X,05265,Active,
7608,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Data Science and Management,2666-7649,26667649,30429,Active,
7609,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Design and Artificial Intelligence,3050-7413,30507413,32094,Active,
7612,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Engineering Applications of Artificial Intelligence,0952-1976,09521976,00975,Active,
7614,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Expert Systems with Applications,0957-4174,09574174,00939,Active,
7615,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Expert Systems with Applications: X,2590-1885,25901885,18477,Active,
7616,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Future Computing and Informatics Journal,2314-7288,23147288,18252,Transferred,Transferred to Taylor & Francis as of 2019
7617,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Fuzzy Sets and Systems,0165-0114,01650114,05371,Active,
7618,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Information Sciences,0020-0255,00200255,07669,Active,Incorporating Information Sciences - Applications
7619,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Information Systems,0306-4379,03064379,00236,Active,
7620,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Intelligent Geoengineering,3050-6190,30506190,32055,Active,
7622,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Intelligent Medicine,2667-1026,26671026,31107,Active,
7623,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Intelligent Oncology,2950-2616,29502616,31694,Active,
7624,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Intelligent Pharmacy,2949-866X,2949866X,31574,Active,
7625,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,Intelligent Sports and Health,3050-5445,30505445,32013,Active,
7626,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,International Journal of Approximate Reasoning,0888-613X,0888613X,07662,Active,
7627,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,International Journal of Cognitive Computing in Engineering,2666-3074,26663074,30285,Active,
7628,Physical Sciences and Engineering,Computer Science,Artificial Intelligence,International Journal of Electrical Power & Energy Systems,0142-0615,01420615,03044,Active,
