,Sourcerecord ID,Source Title,ISSN,EISSN,Active or Inactive,Coverage,Medline-sourced Title? (See additional details under separate tab.),Open Access Status,Articles in Press Included?,Added to List Jun. 2025,Source Type,Title History Indication,Related Title 1,Other Related Title 2,Other Related Title 3,Other Related Title 4,Publisher,Publisher Imprints Grouped to Main Publisher,All Science Journal Classification Codes (ASJC),"1400
Business, Management and Accounting","1700
Computer Science","1800
Decision Sciences","2000
Economics, Econometrics and Finance","2600
Mathematics","2800
Neuroscience","3300
Social Sciences"
0,6400153185,A report of the ... National Forum on Hospital and Health Affairs / conducted by the Graduate Program in Hospital Administration of Duke University. National Forum on Hospital and Health Affairs,,,Inactive,1989-1996,,,,,Journal,,,,,,Duke University Press,Duke University Press,,,,,,,,
1,14400154708,ACOG Current Journal Review,08971471,,Inactive,1995,,,,,Journal,Continued as,ACOG Clinical Review,,,,Elsevier B.V.,Elsevier,,,,,,,,
2,12100154954,Advanced Energy Conversion,03651789,,Inactive,1961-1968,,,,,Journal,Continued as,Energy Conversion,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
3,12100154601,Advances in Molecular Relaxation and Interaction Processes,03784487,,Inactive,1977-1982,,,,,Journal,Continued as,Advances in Molecular Relaxation Processes,Journal of Molecular Liquids,,,Elsevier B.V.,Elsevier,,,,,,,,
4,12100154822,Advances in Molecular Relaxation Processes,00018716,,Inactive,1972-1977; 1970; 1967-1968,,,,,Journal,Continued as,Advances in Molecular Relaxation and Interaction Processes,,,,Elsevier B.V.,Elsevier,,,,,,,,
5,9900153105,AeroMedical Journal,08948321,,Inactive,1986-1989,,,,,Journal,Continued as,Journal of Air Medical Transport,,,,Jems Pub. Co.,Jems Pub. Co.,,,,,,,,
6,14200154743,Air Med,10796134,,Inactive,1995,,,,,Journal,Incorporated into,Air Medical Journal,,,,Mosby Inc.,Elsevier,,,,,,,,
7,12100154603,Annals of Mathematical Logic,00034843,,Inactive,1970-1982,,,,,Journal,Continued as,Annals of Pure and Applied Logic,,,,North-Holland Publ Co,Elsevier,,,,,,,,
8,12100154825,Annals of Nuclear Science and Engineering,03022927,,Inactive,1974,,,,,Journal,Continued as,Journal of Nuclear Energy,Annals of Nuclear Energy,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
9,14500154720,Annals of the ICRP/ICRP Publication,00742740,,Inactive,1975; 1959,,,,,Journal,Continued as,Annals of the ICRP,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
10,9800153155,Antimicrobic Newsletter,07381751,,Inactive,1992; 1984-1990,,,,,Journal,Continued as,Antimicrobics and Infectious Diseases Newsletter,,,,Elsevier Science Inc.,Elsevier,,,,,,,,
11,11800154309,Applied Animal Ethology,03043762,,Inactive,1974-1984,,,,,Journal,Continued as,Applied Animal Behaviour Science,,,,Elsevier B.V.,Elsevier,,,,,,,,
12,21100425867,Archives Néerlandaises de Zoologie,03655164,18753019,Inactive,1966; 1962-1963; 1960; 1954; 1952; 1946; 1942; 1939-1940; 1937,,,,,Journal,Continued as,Netherlands Journal of Zoology,,,,Brill Academic Publishers,Brill,,,,,,,,
13,21100839283,ASEAN economic bulletin,02174472,,Inactive,1992,,,,,Journal,Continued as,Journal of Southeast Asian Economies,,,,ISEAS - Yusof Ishak Institute,ISEAS - Yusof Ishak Institute,,,,,,,,
14,9800153166,Astronomy Quarterly,03649229,,Inactive,1990-1991; 1984-1988; 1981-1982; 1978-1979,,,,,Journal,Incorporated into,Vistas in Astronomy,,,,Pergamon Press Ltd.,Elsevier,,,,,,,,
15,12100154959,BBA - Biophysics Including Photosynthesis,09266585,,Inactive,1964-1966,,,,,Journal,Continued as,BBA - Specialised Section On Biophysical Subjects,BBA - Enzymology,Biochimica et Biophysica Acta - Bioenergetics,Biochimica et Biophysica Acta - Biomembranes,Elsevier B.V.,Elsevier,,,,,,,,
16,12100154957,BBA - Enzymological Subjects,09266569,,Inactive,1963-1964,,,,,Journal,Continued as,BBA - Enzymology and Biological Oxidation,,,,Elsevier B.V.,Elsevier,,,,,,,,
17,11800154302,BBA - Enzymology,09241086,,Inactive,1967-1981,,,,,Journal,Incorporated into,BBA - Biophysics Including Photosynthesis,BBA - Enzymology and Biological Oxidation,Biochimica et Biophysica Acta - Protein Structure and Molecular Enzymology,,Elsevier B.V.,Elsevier,,,,,,,,
18,12100155601,BBA - Enzymology and Biological Oxidation,09266593,,Inactive,1965-1966,,,,,Journal,Continued as,BBA - Enzymological Subjects,Biochimica et Biophysica Acta - Bioenergetics,BBA - Enzymology,Biochimica et Biophysica Acta - Biomembranes,Elsevier B.V.,Elsevier,,,,,,,,
19,12100154958,BBA - Mucoproteins and Mucopolysaccharides,09266534,,Inactive,1965,,,,,Journal,Formerly known as,BBA - Specialized Section on Mucoproteins and Mucopolysaccharides,,,,Elsevier B.V.,Elsevier,,,,,,,,
20,11800154303,BBA - Protein Structure,00052795,,Inactive,1967-1981,,,,,Journal,Continued as,Biochimica et Biophysica Acta - Protein Structure and Molecular Enzymology,,,,Elsevier B.V.,Elsevier,,,,,,,,
21,12100154961,BBA - Specialised Section On Biophysical Subjects,09266577,,Inactive,1964,,,,,Journal,Continued as,BBA - Biophysics Including Photosynthesis,,,,Elsevier B.V.,Elsevier,,,,,,,,
22,12100154956,BBA - Specialised Section On Lipids and Related Subjects,09266542,,Inactive,1963-1964,,,,,Journal,Continued as,Biochimica et Biophysica Acta - Lipids and Lipid Metabolism,,,,Elsevier B.V.,Elsevier,,,,,,,,
23,12100154960,BBA - Specialized Section on Mucoproteins and Mucopolysaccharides,09266526,,Inactive,1964,,,,,Journal,Continued as,BBA - Mucoproteins and Mucopolysaccharides,,,,Elsevier B.V.,Elsevier,,,,,,,,
24,11800154304,BBA Section Nucleic Acids And Protein Synthesis,00052787,,Inactive,1965-1981; 1963,,,,,Journal,Continued as,BBA Specialized Section on Nucleic Acids and Related Subjects,Biochimica et Biophysica Acta - Reviews on Cancer,Biochimica et Biophysica Acta - Gene Structure and Expression,,Elsevier B.V.,Elsevier,,,,,,,,
25,12100154955,BBA Specialized Section on Nucleic Acids and Related Subjects,09266550,,Inactive,1962-1964,,,,,Journal,Continued as,BBA Section Nucleic Acids And Protein Synthesis,,,,Elsevier B.V.,Elsevier,,,,,,,,
