journal,value
@GRH,0
20 & 21: Revue d'Histoire,0
21st Century Music,0
2D Materials,0
3D Printing and Additive Manufacturing,0
3D Printing in Medicine,0
3D Research,0
"3L: Language, Linguistics, Literature",0
4OR,0
A + U-Architecture and Urbanism,0
A Contrario,0
A e C - Revista de Direito Administrativo e Constitucional,0
a/b: Auto/Biography Studies,0
A/Z ITU Journal of the Faculty of Architecture,0
A+BE Architecture and the Built Environment,0
"AAPP Atti della Accademia Peloritana dei Pericolanti, Classe di Scienze Fisiche, Matematiche e Naturali",0
Ab Imperio,0
ABA Bank Marketing,0
ABA Journal,0
ABAC Journal,0
Abacus,0
ABB Review,0
Aboriginal History Journal,0
Abstract and Applied Analysis,0
ABU Technical Review,0
Academe,0
Academia (Greece),0
Academia Economic Papers,0
Academic Journal of Interdisciplinary Studies,0
Academic Journal of Manufacturing Engineering,0
Academic Journal of Modern Philology,0
Academic Leadership,0
Academic Medicine,0
Academic Psychiatry,0
Academic Questions,0
Academica Turistica,0
Academy of Accounting and Financial Studies Journal,0
Academy of Banking Studies Journal,0
Academy of Entrepreneurship Journal,0
Academy of Management Annals,1
Academy of Management Discoveries,1
Academy of Management Journal,1
Academy of Management Learning and Education,1
Academy of Management Perspectives,1
Academy of Management Review,1
Academy of Marketing Studies Journal,1
Academy of Strategic Management Journal,1
Acadiensis,0
Access to Justice in Eastern Europe,0
Accident Analysis and Prevention,0
Accountability in Research,0
Accounting,0
Accounting and Business Research,0
Accounting and the Public Interest,0
Accounting Education,0
Accounting Forum,0
Accounting Historians Journal,0
Accounting History,0
Accounting History Review,0
Accounting Horizons,0
Accounting in Europe,0
Accounting Perspectives,0
Accounting Research Journal,0
Accounting Review,0
"Accounting, Auditing and Accountability Journal",1
"Accounting, Business and Financial History",1
"Accounting, Economics and Law: A Convivium",0
"Accounting, Finance, Sustainability, Governance and Fraud",0
"Accounting, Organizations and Society",1
Accreditation and Quality Assurance,0
ACDI Anuario Colombiano de Derecho Internacional,0
Acervo,0
ACI Materials Journal,0
ACI Structural Journal,1
ACM Communications in Computer Algebra,0
ACM Computing Surveys,1
ACM Inroads,0
ACM Journal of Experimental Algorithmics,1
ACM Journal on Emerging Technologies in Computing Systems,1
ACM SIGBED Review,0
ACM SIGPLAN Notices,0
ACM Transactions on Accessible Computing,1
ACM Transactions on Algorithms,0
ACM Transactions on Applied Perception,0
ACM Transactions on Architecture and Code Optimization,0
ACM Transactions on Asian and Low-Resource Language Information Processing,0
ACM Transactions on Asian Language Information Processing,0
ACM Transactions on Autonomous and Adaptive Systems,0
ACM Transactions on Computation Theory,0
ACM Transactions on Computational Logic,0
ACM Transactions on Computer Systems,0
ACM Transactions on Computer-Human Interaction,1
ACM Transactions on Computing Education,0
ACM Transactions on Computing for Healthcare,0
ACM Transactions on Cyber-Physical Systems,0
ACM Transactions on Database Systems,0
ACM Transactions on Design Automation of Electronic Systems,0
ACM Transactions on Economics and Computation,0
ACM Transactions on Embedded Computing Systems,0
ACM Transactions on Evolutionary Learning and Optimization,0
ACM Transactions on Graphics,0
ACM Transactions on Human-Robot Interaction,1
ACM Transactions on Information and System Security,0
ACM Transactions on Information Systems,1
ACM Transactions on Intelligent Systems and Technology,1
ACM Transactions on Interactive Intelligent Systems,1
ACM Transactions on Internet of Things,0
ACM Transactions on Internet Technology,0
ACM Transactions on Knowledge Discovery from Data,1
ACM Transactions on Management Information Systems,1
ACM Transactions on Mathematical Software,0
ACM Transactions on Modeling and Computer Simulation,0
ACM Transactions on Modeling and Performance Evaluation of Computing Systems,0
"ACM Transactions on Multimedia Computing, Communications and Applications",0
ACM Transactions on Parallel Computing,0
ACM Transactions on Privacy and Security,0
ACM Transactions on Programming Languages and Systems,0
ACM Transactions on Quantum Computing,0
ACM Transactions on Reconfigurable Technology and Systems,0
ACM Transactions on Sensor Networks,0
ACM Transactions on Software Engineering and Methodology,0
ACM Transactions on Spatial Algorithms and Systems,0
ACM Transactions on Speech and Language Processing,0
ACM Transactions on Storage,0
ACM Transactions on the Web,0
ACME,0
ACRN Journal of Finance and Risk Perspectives,0
Across Languages and Cultures,0
ACS Applied Bio Materials,0
ACS Applied Energy Materials,0
ACS Chemical Neuroscience,0
ACS Materials Letters,0
ACS Nano,0
ACS Photonics,0
ACS Physical Chemistry Au,0
ACS Synthetic Biology,0
Acta Academica,0
Acta Acustica,0
Acta Acustica United with Acustica,0
Acta Analytica,0
Acta Antiqua Academiae Scientiarum Hungaricae,0
Acta Applicandae Mathematicae,0
Acta Archaeologica,0
Acta Archaeologica Academiae Scientiarum Hungaricae,0
Acta Archaeologica Lodziensia,0
Acta Arithmetica,0
Acta Asiatica Varsoviensia,0
Acta Astronautica,0
Acta Baltica Historiae et Philosophiae Scientiarum,1
Acta Baltico-Slavica,0
Acta Biologica Hungarica,0
Acta Biologica Marisiensis,0
Acta Biomaterialia,0
Acta Biotheoretica,0
Acta Borealia,0
Acta Classica,0
Acta Classica Universitatis Scientiarum Debreceniensis,0
Acta Comeniana,0
Acta Commercii,0
Acta Conventus Neo-Latini,0
Acta Cybernetica,1
Acta Epileptologica,0
Acta et Commentationes Universitatis Tartuensis de Mathematica,0
Acta Ethnographica Hungarica,0
Acta Facultatis Philosophicae Universitatis Ostravienis Studia Germanistica,0
Acta Geodaetica et Geophysica,0
Acta Geographica Lodziensia,0
Acta Geographica Slovenica,0
Acta Geographica Universitatis Comenianae,0
Acta Historiae Artis Slovenica,0
Acta Historiae Artium,0
Acta Historica Tallinnensia,0
Acta Historica Universitatis Klaipedensis,0
Acta Iadertina,0
Acta IMEKO,0
Acta Informatica,1
Acta Innovations,0
Acta Juridica Hungarica,0
Acta Koreana,0
Acta Linguistica Academica,0
Acta Linguistica Asiatica,0
Acta Linguistica Hafniensia,0
Acta Linguistica Hungarica,0
Acta Linguistica Lithuanica,0
Acta Linguistica Petropolitana,0
Acta Logistica,1
Acta Mathematica,0
Acta Mathematica Academiae Paedagogicae Nyiregyhaziensis,0
Acta Mathematica Hungarica,0
Acta Mathematica Scientia,0
"Acta Mathematica Sinica, English Series",0
Acta Mathematica Universitatis Comenianae,0
Acta Mathematica Vietnamica,0
Acta Mathematicae Applicatae Sinica,0
Acta Mechanica,0
Acta Mechanica et Automatica,1
Acta Mechanica Sinica/Lixue Xuebao,0
Acta Mechanica Solida Sinica,0
Acta Medico-Historica Rigensia,0
Acta Metallurgica Sinica (English Letters),0
Acta Meteorological Sinica (English Edition),0
Acta Mozartiana,0
Acta Musei Napocensis,0
Acta Musei Napocensis. Historica,0
"Acta Musei Nationalis Pragae, Series B - Historia Naturalis",0
Acta Musicologica,0
Acta Neophilologica,0
Acta Neurobiologiae Experimentalis,0
Acta Neurologica Scandinavica,0
Acta Neurologica Taiwanica,0
Acta Neuropathologica,0
Acta Neuropathologica Communications,0
Acta Neuropsychologica,0
Acta Numerica,0
Acta Oeconomica,0
Acta of Bioengineering and Biomechanics,0
Acta Orientalia,0
Acta Paedagogica Vilnensia,0
Acta Periodica Technologica,0
Acta Philosophica,1
Acta Politica,0
Acta Politologica,0
Acta Poloniae Historica,0
Acta Polytechnica,0
Acta Polytechnica Hungarica,0
Acta Psychologica,1
Acta Scientiae,0
Acta Scientiarum - Education,0
Acta Scientiarum Language and Culture,0
Acta Scientiarum Mathematicarum,0
Acta Sociologica,1
Acta Technica CSAV (Ceskoslovensk Akademie Ved),0
Acta Technologica Agriculturae,0
Acta Theologica,0
Acta Turistica,0
Acta Universitatis Carolinae Studia Territorialia,0
Acta Universitatis Carolinae Theologica,0
"Acta Universitatis Carolinae, Geographica",0
Acta Universitatis Lodziensis. Folia Archaeologica,0
Acta Universitatis Lodziensis. Folia Iuridica,0
"Acta Universitatis Sapientiae, Mathematica",0
"Acta Universitatis Sapientiae, Philologica",0
Action in Teacher Education,0
Action Learning: Research and Practice,0
Action Research,0
"Action, Criticism, and Theory for Music Education",0
Active and Passive Electronic Components,0
Active Learning in Higher Education,0
