journal,label
Arte Cristiana,0
Arte Medievale,0
Arte Nuevo. Revista de Estudios Aureos,0
Arte y Sociedad (Aranjuez),0
"Arte, Individuo y Sociedad",0
ARTEKS : Jurnal Teknik Arsitektur,0
Arteterapia,0
Artforum International,0
Arthaniti: Journal of Economic Theory and Practice,0
Arthuriana,0
Artibus Asiae,0
Artibus et Historiae,0
Articulo - Journal of Urban Research,0
Artifact,0
Asian Review of World Histories,0
Atlanti+,0
Australian and New Zealand Journal of Family Therapy,0
Australian and New Zealand Journal of Statistics,0
Australian Archaeology,0
Australian Art Education,0
Australian Commodities,0
Australian Cultural History,0
Australian Economic History Review,0
Australian Economic Papers,0
Australian Economic Review,0
Australian Educational and Developmental Psychologist,0
Australian Educational Computing,0
Australian Educational Researcher,0
Australian Feminist Law Journal,0
Australian Feminist Studies,0
Australian Geographer,0
Australian Historical Studies,0
Australian Journal of Adult Learning,0
Australian Journal of Agricultural and Resource Economics,0
Australian Journal of Anthropology,0
Australian Journal of Applied Linguistics,0
Australian Journal of Asian Law,0
Australian Journal of Career Development,0
Australian Journal of Civil Engineering,0
Australian Journal of Clinical and Experimental Hypnosis,0
Australian Journal of Clinical Hypnotherapy and Hypnosis,0
Australian Journal of Dairy Technology,0
Australian Journal of Early Childhood,0
Australian Journal of Education,0
Australian Journal of Educational and Developmental Psychology,0
Australian Journal of Electrical and Electronics Engineering,0
Australian Journal of Emergency Management,0
Australian Journal of Emerging Technologies and Society,0
Australian Journal of Environmental Education,0
Australian Journal of French Studies,0
Australian Journal of Guidance and Counselling,0
Australian Journal of Human Rights,0
Australian Journal of Indigenous Education,0
Australian Journal of International Affairs,0
Australian Journal of Islamic Studies,0
Australian Journal of Language and Literacy,0
Australian Journal of Learning Difficulties,0
Australian Journal of Linguistics,0
Australian Journal of Management,0
Australian Journal of Maritime and Ocean Affairs,0
Australian Journal of Mathematical Analysis and Applications,0
Australian Journal of Mechanical Engineering,0
Australian Journal of Political Science,0
Australian Journal of Politics and History,0
Australian Journal of Psychology,0
Australian Journal of Public Administration,0
Australian Journal of Social Issues,0
Australian Journal of Structural Engineering,0
Australian Journal of Teacher Education,0
Australian Journalism Review,0
Australian Law Journal,0
Australian Library Journal,0
Australian Literary Studies,0
Australian Mining,0
Australian Planner,0
Australian Playwrights,0
